Date,Open,High,Low,Close,Adj Close,Volume,indicator
2020-11-10,39.029999,39.349998,37.580002,37.810001,37.589766999999995,5588400,0.0
2020-11-11,38.490002000000004,38.73,37.889998999999996,38.060001,37.83831,4633000,1.0
2020-11-12,38.0,38.935001,37.785,37.959998999999996,37.738892,8192500,0.0
2020-11-13,38.23,38.610001000000004,38.139998999999996,38.290001000000004,38.066971,5498900,1.0
2020-11-16,39.240002000000004,40.509997999999996,38.48,40.5,40.264095000000005,6135600,1.0
2020-11-17,41.450001,41.48,39.860001000000004,40.360001000000004,40.124912,6882700,0.0
2020-11-18,40.279999,40.59,39.369999,39.389998999999996,39.160561,5997200,0.0
2020-11-19,39.0,39.279999,38.509997999999996,39.130001,38.902077,8524800,0.0
2020-11-20,38.93,39.099998,38.209998999999996,38.540001000000004,38.315514,4338700,0.0
2020-11-23,39.0,39.139998999999996,38.400002,38.77,38.544174,6231700,1.0
2020-11-24,38.939999,39.564999,38.43,39.369999,39.140675,7022300,1.0
2020-11-25,39.060001,39.240002000000004,38.52,38.610001000000004,38.385104999999996,4280300,0.0
2020-11-27,38.689999,38.84,37.459998999999996,37.810001,37.589766999999995,5923500,0.0
2020-11-30,37.75,38.48,37.41,38.07,37.848251,21169200,1.0
2020-12-01,38.639998999999996,38.939999,37.549999,37.599998,37.380984999999995,6595200,0.0
2020-12-02,37.189999,37.279999,36.560001,36.830002,36.615475,5578000,0.0
2020-12-03,37.189999,37.77,36.599998,36.689999,36.476288000000004,5411900,0.0
2020-12-04,37.27,37.970001,37.055,37.700001,37.480404,5534700,1.0
2020-12-07,37.549999,37.700001,36.709998999999996,36.84,36.625415999999994,3825100,0.0
2020-12-08,36.639998999999996,37.57,36.610001000000004,37.299999,37.082733000000005,4022800,1.0
2020-12-09,37.41,37.990002000000004,37.389998999999996,37.84,37.619587,4134800,1.0
2020-12-10,37.669998,38.470001,37.266998,37.540001000000004,37.321339,4095700,0.0
2020-12-11,37.16,37.389998999999996,36.759997999999996,37.16,36.94355,3102600,0.0
2020-12-14,37.5,37.549999,36.52,36.619999,36.406696000000004,6301200,0.0
2020-12-15,37.099998,37.91,36.52,37.669998,37.450581,4832100,1.0
2020-12-16,37.73,38.02,37.34,38.0,37.778656,3990600,1.0
2020-12-17,38.41,38.865002000000004,38.25,38.700001,38.474583,4095200,1.0
2020-12-18,38.75,38.860001000000004,37.610001000000004,38.790001000000004,38.56406,9683100,1.0
2020-12-21,38.0,38.720001,37.931,38.52,38.295631,2835900,0.0
2020-12-22,38.290001000000004,38.52,37.860001000000004,38.029999,37.926632,3303800,0.0
2020-12-23,38.119999,38.400002,37.799999,38.16,38.056278000000006,2367600,1.0
2020-12-24,37.91,38.240002000000004,37.849998,37.889998999999996,37.787014,1395100,0.0
2020-12-28,38.110001000000004,39.43,37.75,37.759997999999996,37.657364,3209700,0.0
2020-12-29,38.0,38.18,36.68,37.169998,37.06897,3748700,0.0
2020-12-30,37.310001,37.799999,37.25,37.73,37.627449,3051000,1.0
2020-12-31,37.619999,37.810001,36.919998,37.720001,37.617477,2096800,0.0
